"ANOENC","NUMERO","NORDEN","CATEGMH","SUSPRIN","RELASP","EDAD","SEXO","PAISNACIM","NACIONA","PAISNACION","SITURES","ECIVILLEGAL","NORDENCO","UNION","CONVIVENCIA","NORDENPA","PAISPADRE","NORDENMA","PAISMADRE","ESTUDIOS","ESTUDRED","SITUACT","SITURED","OCU","JORNADA","PERCEP","IMPEXACP","INTERINP","NINODEP","HIJODEP","ADULTO","FACTOR"
2023,8113,2,1,1,1,68,1,1,1,NA,1,2,1,1,1,99,1,99,1,2,1,4,2,2,NA,1,-9,4,6,6,1,962.617178
2023,8114,1,1,1,1,38,6,1,1,NA,1,4,99,NA,3,99,1,99,1,7,4,1,1,1,1,1,-9,4,6,6,1,185.499921
2023,8114,2,1,6,3,8,1,1,1,NA,1,1,99,NA,3,99,1,1,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,185.499921
2023,8114,3,1,6,3,4,1,1,1,NA,1,1,99,NA,3,99,1,1,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,185.499921
2023,8115,1,1,1,1,59,1,1,1,NA,1,2,2,1,1,99,1,99,1,6,4,1,1,1,1,1,-9,5,6,6,1,2408.31097
2023,8115,2,1,6,2,57,6,1,1,NA,1,2,1,1,1,99,1,99,1,4,3,6,2,2,NA,6,NA,NA,6,6,1,2408.31097
2023,8115,3,1,6,3,33,1,1,1,NA,1,1,99,NA,3,1,1,2,1,7,4,1,1,1,1,1,-9,4,6,6,1,2408.31097
2023,8115,4,1,6,3,30,1,1,1,NA,1,1,99,NA,3,1,1,2,1,7,4,1,1,1,1,1,-9,4,6,6,1,2408.31097
2023,8115,5,1,6,3,27,6,1,1,NA,1,1,99,NA,3,1,1,2,1,7,4,1,1,1,1,1,-9,4,6,6,1,2408.31097
2023,8116,1,1,1,1,83,1,1,1,NA,1,2,2,1,1,99,1,99,1,4,3,4,2,2,NA,1,2830,6,6,6,1,346.905281
2023,8116,2,1,6,2,81,6,1,1,NA,1,2,1,1,1,99,1,99,1,2,1,6,2,2,NA,6,NA,NA,6,6,1,346.905281
2023,8117,1,1,1,1,40,6,1,1,NA,1,1,2,2,2,99,1,99,1,5,4,1,1,1,1,1,1167,3,6,6,1,720.605062
2023,8117,2,1,6,2,48,1,1,1,NA,1,1,1,2,2,99,1,99,1,4,3,1,1,1,1,1,1108,3,6,6,1,720.605062
2023,8118,1,1,1,1,71,1,1,1,NA,1,2,2,1,1,99,1,99,1,2,1,4,2,2,NA,1,-9,3,6,6,1,618.647728
2023,8118,2,1,6,2,70,6,1,1,NA,1,2,1,1,1,99,1,99,1,2,1,4,2,2,NA,1,-9,3,6,6,1,618.647728
2023,8119,1,1,1,1,55,6,1,1,NA,1,1,99,NA,3,99,1,2,1,6,4,1,1,1,1,1,-9,3,6,6,1,412.576858
2023,8119,2,1,6,4,78,6,1,1,NA,1,3,99,NA,3,99,1,99,1,2,1,4,2,2,NA,1,-9,2,6,6,1,412.576858
2023,8120,1,1,1,1,85,1,1,1,NA,1,3,99,NA,3,99,1,99,1,1,1,4,2,2,NA,1,-9,2,6,6,1,565.17718
2023,8121,1,1,1,1,72,1,1,1,NA,1,2,2,1,1,99,1,99,1,3,2,4,2,2,NA,1,1283,3,6,6,1,884.626407
2023,8121,2,1,6,2,65,6,1,1,NA,1,2,1,1,1,99,1,99,1,3,2,1,1,1,2,1,150,1,6,6,1,884.626407
2023,8122,1,1,1,1,34,1,1,1,NA,1,1,2,3,2,99,1,99,1,7,4,1,1,1,1,1,-9,5,6,6,1,439.994083
2023,8122,2,1,6,2,29,6,1,1,NA,1,1,1,3,2,99,1,99,1,7,4,1,1,1,1,1,-9,5,6,6,1,439.994083
2023,8123,1,1,6,2,65,6,4,2,3,1,2,2,1,1,99,4,99,4,5,4,6,2,2,NA,-9,-9,-9,6,6,1,2379.484635
2023,8123,2,1,1,1,73,1,2,2,1,1,2,1,1,1,99,2,99,2,7,4,4,2,2,NA,-9,-9,-9,6,6,1,2379.484635
2023,8124,1,1,1,1,68,1,1,1,NA,1,2,2,1,1,99,1,99,1,2,1,4,2,2,NA,1,-9,3,6,6,1,1058.968036
2023,8124,2,1,6,2,59,6,1,1,NA,1,2,1,1,1,99,1,99,1,2,1,6,2,2,NA,6,NA,NA,6,6,1,1058.968036
2023,8125,1,1,1,1,50,1,1,1,NA,1,2,2,1,1,99,1,99,1,6,4,1,1,1,1,1,-9,4,6,6,1,1337.599562
2023,8125,2,1,6,2,50,6,1,1,NA,1,2,1,1,1,99,1,99,1,6,4,1,1,1,1,1,1600,4,6,6,1,1337.599562
2023,8125,3,1,6,3,19,6,1,1,NA,1,1,99,NA,3,1,1,2,1,4,3,5,2,2,NA,6,NA,NA,1,1,6,1337.599562
2023,8125,4,1,6,3,15,1,1,1,NA,1,1,99,NA,3,1,1,2,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,1337.599562
2023,8126,1,1,6,2,52,6,1,1,NA,1,2,2,1,1,99,1,99,1,3,2,6,2,2,NA,6,NA,NA,6,6,1,974.625799
2023,8126,2,1,1,1,61,1,1,1,NA,1,2,1,1,1,99,1,99,1,3,2,1,1,1,1,1,2000,5,6,6,1,974.625799
2023,8126,3,1,6,3,31,6,1,1,NA,1,1,99,NA,3,2,1,1,1,2,1,7,2,2,NA,1,200,1,6,6,1,974.625799
2023,8126,4,1,6,3,30,1,1,1,NA,1,1,99,NA,3,2,1,1,1,7,4,1,1,1,1,1,1500,4,6,6,1,974.625799
2023,8127,1,1,1,1,48,1,1,1,NA,1,2,2,1,1,99,1,99,1,6,4,1,1,1,1,1,-9,6,6,6,1,172.262252
2023,8127,2,1,6,2,53,6,1,1,NA,1,2,1,1,1,99,1,99,1,6,4,1,1,1,1,1,-9,6,6,6,1,172.262252
2023,8128,1,1,1,1,41,1,1,1,NA,1,1,99,NA,3,99,1,99,1,3,2,1,1,1,1,1,1000,3,6,6,1,1008.899578
2023,8129,1,1,1,1,48,6,1,1,NA,1,1,2,3,2,99,1,99,1,6,4,1,1,1,1,1,-9,5,6,6,1,549.535862
2023,8129,2,1,6,2,50,1,1,1,NA,1,1,1,3,2,99,1,99,1,6,4,1,1,1,1,1,-9,5,6,6,1,549.535862
2023,8129,3,1,6,3,10,6,1,1,NA,1,1,99,NA,3,2,1,1,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,549.535862
2023,8129,4,1,6,3,5,6,1,1,NA,1,1,99,NA,3,2,1,1,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,549.535862
2023,8130,1,1,1,1,78,1,2,2,1,1,2,2,1,1,99,2,99,2,6,4,4,2,2,NA,1,2160,5,6,6,1,1003.321102
