survey_year,household_id,survey_weight,total_consumption_spend_eur,home_energy_spend_eur,home_electricity_spend_eur,home_gas_spend_eur,home_other_fuels_spend_eur,private_vehicle_fuel_spend_eur,vehicle_diesel_spend_eur,vehicle_petrol_spend_eur,monthly_net_income_eur,household_size,children_under18,employed_members,region_code,municipality_size_code,dwelling_area_m2,heating_energy_source,hot_water_energy_source
2023,1,400.95406,21315.5366477646,652.680010273496,418.20000525746,234.480005016036,0,0,0,0,1206,1,0,1,16,5,85,LPG,LPG
2023,2,1575.616402,16280.6885974522,813.479999556389,680.759998841393,132.720000714996,0,0,0,0,859,3,2,1,9,5,90,Natural gas,Natural gas
2023,3,962.46536,15840.9502966424,1164.00000099744,1164.00000099744,0,0,0,0,0,850,1,0,1,1,2,85,No heating,LPG
2023,4,621.096916,20168.3577350109,1800.00000193207,1800.00000193207,0,0,37.3183949282401,26.6934991511051,10.624895777135,2102,2,0,0,2,5,87,Electricity,Electricity
2023,5,260.852439,55396.4647039394,1373.9999954533691,743.999982304172,630.000013149197,0,0,0,0,3500,4,0,2,15,3,87,Natural gas,Natural gas
2023,6,886.045348,63422.4894322226,2308.106424367794,923.164578253618,2.6592882692952182,1382.2825578448808,8.191646191002855,4.44778589368543,3.70214685670919,1400,1,0,0,2,5,100,Other liquid fuels,Other liquid fuels
2023,7,255.876616,20617.8608755714,2249.690022475517,496.5600295417378,0,1753.129992933779,0,0,0,958,1,0,0,17,5,128,Other liquid fuels,Other liquid fuels
2023,8,457.008134,41352.5969102336,2039.520001191047,839.520002941567,0,1199.99999824948,3714.73841207386,3714.73841207386,0,2225,2,0,0,7,5,95,Solid fuels,Solid fuels
2023,9,1005.400286,23627.630756413,1552.31999804703,1552.31999804703,0,0,2214.88439083257,0,2214.88439083257,2645,2,0,2,10,2,90,Electricity,Electricity
2023,10,802.184874,13840.4162430019,1786.92000617304,1786.92000617304,0,0,97.0753906287193,78.1338966009972,18.9414940277221,3487,5,1,1,12,5,120,No heating,LPG
2023,11,452.425942,33836.8336535397,1271.999981822439,1271.999981822439,0,0,5539.42704726689,5539.42704726689,0,2233,2,0,0,16,1,90,Electricity,Electricity
2023,12,262.721881,18587.6224751908,504.000007521262,504.000007521262,0,0,1238.24787171039,0,1238.24787171039,1273,2,0,0,11,5,120,No heating,LPG
2023,13,2105.799674,24979.7269842297,1047.00000062779,525.600000638997,521.399999988793,0,2160.61927740616,0,2160.61927740616,2968,3,0,1,10,1,90,No heating,Natural gas
2023,14,676.854077,11633.3402391547,696.000003557635,696.000003557635,0,0,1661.71601563685,1661.71601563685,0,1200,1,0,1,8,5,85,Solid fuels,LPG
2023,15,814.229637,30150.1487964138,845.4600013534019,633.720005453449,211.739995899953,0,1315.64358667529,0,1315.64358667529,3137,2,0,2,3,4,70,Natural gas,Natural gas
2023,16,2555.253887,13364.4420985867,1829.99999874376,1499.99999980432,329.99999893944,0,0,0,0,4166,7,2,4,9,3,90,Natural gas,Natural gas
2023,17,320.505612,26804.4890271687,504.00000484234863,504.00000484234863,0,0,0,0,0,1300,1,0,1,14,1,89,No heating,LPG
2023,18,490.526126,28599.0925792197,1080.000007991419,1080.000007991419,0,0,3617.766181938288,3533.67057965838,84.0956022799079,2741,2,0,1,14,3,100,No heating,Electricity
2023,19,1333.05724,25895.193765273,581.999997239428,581.999997239428,0,0,0,0,0,1300,1,0,1,14,1,60,Electricity,Electricity
2023,20,409.11597,16672.8404417945,540.540008741287,540.540008741287,0,0,0,0,0,1153,2,0,1,5,3,70,No heating,LPG
2023,21,1720.280152,28400.5223005096,840.000001348618,840.000001348618,0,0,0,0,0,700,1,0,0,1,5,80,No heating,LPG
2023,22,947.698148,27371.91832098,1200.00000253245,1200.00000253245,0,0,0,0,0,3493,3,1,1,1,2,100,No heating,Electricity
2023,23,1184.428731,11888.8428247693,128.759997126412,128.759997126412,0,0,0,0,0,876,1,0,1,1,3,90,No heating,LPG
2023,24,415.419756,16382.5446472026,840.000011939731,840.000011939731,0,0,0,0,0,3132,4,2,2,12,3,110,Electricity,Electricity
2023,25,936.344295,25835.2832063766,107.999995877585,107.999995877585,0,0,0,0,0,2349,2,0,0,5,4,80,No heating,Electricity
2023,26,1141.443882,14376.8993016513,618.599995264594,432.599997062317,185.999998202277,0,0,0,0,842,2,0,1,16,2,35,Natural gas,Natural gas
2023,27,340.966444,40537.5348900902,720.000000938509,720.000000938509,0,0,0,0,0,1279,1,0,1,16,1,58,Electricity,Electricity
2023,28,910.102203,14615.4729943006,540.0000004175349,299.9999990111,240.000001406435,0,0,0,0,2759,2,0,0,13,1,70,Natural gas,Natural gas
2023,29,293.119128,44986.2933544207,1487.99999159386,1487.99999159386,0,0,11728.439912662401,6191.22894634157,5537.21096632083,1323,3,1,1,14,4,90,Electricity,Electricity
2023,30,828.525691,33811.9531769595,2030.4300014759551,1128.00000066624,0,902.430000809715,14396.7485493458,14396.7485493458,0,1778,4,2,2,8,5,90,Solid fuels,Electricity
2023,31,393.776222,28083.3406695643,628.679986675275,458.039998159158,170.639988516117,0,392.175101928831,109.197096212681,282.97800571615,4200,4,1,2,7,1,90,Natural gas,Natural gas
2023,32,1059.466071,38351.8019332589,935.9999976818519,456.000001532848,479.999996149004,0,0,0,0,3189,4,2,2,7,1,130,Natural gas,Natural gas
2023,33,666.556645,21595.3033368979,663.8690249648629,662.69578634236,0.7456530569881273,0.427585565514841,5.334220319714913,2.64364628755595,2.66972059066338,1311,3,2,1,11,5,300,No heating,Electricity
2023,34,1220.459076,17334.7499199555,652.2606006659745,468.000001992693,184.2605986732815,0,0,0,0,2170,2,0,1,1,1,100,No heating,Natural gas
2023,35,490.509713,14101.8136984374,765.000019479736,540.000010152704,225.000009327032,0,0,0,0,950,1,0,0,3,1,85,Natural gas,Natural gas
2023,36,566.106082,33201.482368105,1236.00000467757,1236.00000467757,0,0,2212.772393425728,174.162393118398,2038.61000030733,3525,4,1,3,5,2,88,No heating,Electricity
2023,37,987.800263,42733.7955669283,674.279998647864,410.631597493308,263.648401154556,0,5426.46467183619,5426.46467183619,0,2188,3,1,2,12,3,90,Natural gas,Natural gas
2023,38,474.709568,83558.4923580053,1050.000007583585,792.000004516446,258.000003067139,0,3950.6224572242,0,3950.6224572242,5890,3,0,2,2,1,200,Other liquid fuels,Electricity
2023,39,2142.235645,19935.7453274007,1399.590799918745,425.040000676489,974.550799242256,0,3814.58684952467,3814.58684952467,0,764,1,0,0,10,3,85,No heating,LPG
2023,40,1905.295778,19909.5748219309,2773.920002881572,675.360001768712,2098.56000111286,0,0,0,0,1221,1,0,0,9,5,90,Natural gas,Electricity
2023,41,1795.806378,78520.9571128943,1500.000001670558,840.000001380995,660.000000289563,0,0,0,0,3547,4,1,2,13,2,85,Natural gas,Natural gas
2023,42,123.974285,25750.0836564615,2175.4800199089677,1096.800033974788,1078.67998593418,0,830.584261889472,830.584261889472,0,1470,2,0,0,17,4,78,Natural gas,Natural gas
2023,43,466.647157,32049.6397024015,1330.80000742402,1330.80000742402,0,0,5482.39315642075,5482.39315642075,0,2702,2,0,1,5,3,160,No heating,Other
2023,44,746.703875,23478.0730045093,1065.24000561802,1065.24000561802,0,0,440.422891872631,141.277196398639,299.145695473992,3391,4,2,2,2,1,130,Electricity,Electricity
2023,45,1157.629627,55132.7376834664,1002.419999397614,588.719996538237,413.700002859377,0,0,0,0,3347,4,0,2,12,1,140,Natural gas,Natural gas
2023,46,1020.598279,21875.6958828852,1335.999999271015,515.999998075638,0,820.000001195377,0,0,0,800,1,0,0,2,5,80,Solid fuels,Electricity
2023,47,322.42263,20613.4949336528,1591.495020061092,739.200005905293,0,852.295014155799,0,0,0,3000,2,0,2,15,5,90,Other liquid fuels,LPG
2023,48,1311.003151,16029.868108227,1761.7199991001398,124.43999839021,1637.28000070993,0,1384.30535320658,0,1384.30535320658,775,1,0,0,8,4,100,Natural gas,Natural gas
2023,49,948.349947,73729.2964808907,3216.23999626796,1326.00000029314,1890.23999597482,0,0,0,0,2248,1,0,0,2,1,300,Natural gas,Natural gas
2023,50,324.288243,5024.22158425275,241.199987012789,241.199987012789,0,0,0,0,0,1656,2,0,0,3,4,90,No heating,Electricity
2023,51,241.150335,90247.0785288355,2954.879992184133,839.999994194493,2114.87999798964,0,553.721105135516,0,553.721105135516,3000,4,2,2,15,3,90,Natural gas,Natural gas
2023,52,371.874763,18004.1385868392,1427.99999579428,1427.99999579428,0,0,109.80481619829631,66.744109763641,43.0607064346553,1260,2,0,0,2,1,45,No heating,Electricity
2023,53,1481.641708,15549.7728537215,480.000000107988,480.000000107988,0,0,0,0,0,2210,1,0,1,9,1,65,Electricity,Electricity
2023,54,156.899386,7028.70373246712,408.0000032632381,95.9999932695721,312.000009993666,0,0,0,0,863,1,0,1,17,1,NA,Natural gas,Natural gas
2023,55,832.019271,12894.2983341067,1079.9999967789208,465.58559819704,614.414398581881,0,0,0,0,1300,2,0,1,6,1,80,No heating,Natural gas
2023,56,436.036928,19887.9148373415,575.999998789093,575.999998789093,0,0,0,0,0,1200,2,0,0,12,1,75,No heating,Electricity
2023,57,3069.562059,43868.7811361171,623.700001238516,431.640000929527,192.060000308989,0,1664.4847967871,1664.4847967871,0,2000,1,0,1,10,1,90,Natural gas,Natural gas
